SNo,Size,ShiftCount,ComparisonCount
1,1000,6040,10196
2,1999,13100,24362
3,2998,23985,42051
4,3997,30219,55285
5,4996,37420,72266
6,5995,49055,92910
7,6994,63059,103939
8,7993,64183,117449
9,8992,80196,153156
10,9991,74371,162229
11,10990,92618,168973
12,11989,109763,190971
13,12988,111208,208963
14,13987,120835,219704
15,14986,136733,238639
16,15985,142431,259626
17,16984,172224,300173
18,17983,152121,301732
19,18982,175401,323801
20,19981,195664,349067
21,20980,180233,354173
22,21979,193262,370219
23,22978,219508,416614
24,23977,221963,406916
25,24976,219351,425775
26,25975,260782,464085
27,26974,285849,496588
28,27973,259053,471769
29,28972,274760,488707
30,29971,280040,507033
31,30970,284268,525485
32,31969,301132,561201
33,32968,347903,631755
34,33967,307986,597477
35,34966,311414,608891
36,35965,353907,658694
37,36964,354887,685455
38,37963,383705,705123
39,38962,387608,710980
40,39961,389581,752313
41,40960,423888,758704
42,41959,435067,780752
43,42958,473672,805336
44,43957,474731,865011
45,44956,438223,791338
46,45955,422214,836305
47,46954,472900,879124
48,47953,451038,878015
49,48952,546204,979591
50,49951,495451,950335
51,50950,465114,951881
52,51949,506342,977942
53,52948,572341,1047567
54,53947,520693,1021314
55,54946,520480,1014109
56,55945,528445,1110194
57,56944,552741,1064017
58,57943,609441,1129492
59,58942,636108,1195758
60,59941,621256,1177476
61,60940,620003,1178211
62,61939,693152,1234823
63,62938,649928,1200690
64,63937,670380,1193605
65,64936,731976,1280042
66,65935,644827,1259337
67,66934,701871,1324023
68,67933,706472,1276823
69,68932,676411,1293790
70,69931,766964,1384633
71,70930,770668,1421558
72,71929,696775,1383014
73,72928,775873,1413469
74,73927,750953,1403433
75,74926,727814,1449167
76,75925,789681,1463509
77,76924,744718,1488199
78,77923,789898,1488532
79,78922,835569,1535032
80,79921,970853,1662724
81,80920,811351,1645574
82,81919,820678,1634207
83,82918,941921,1657449
84,83917,847738,1650054
85,84916,854392,1598660
86,85915,828294,1647359
87,86914,938620,1727632
88,87913,893658,1798396
89,88912,897008,1792772
90,89911,996938,1887833
91,90910,972377,1812085
92,91909,966849,1826432
93,92908,1114769,1928473
94,93907,1055607,1920980
95,94906,1099804,1975701
96,95905,1074037,1957899
97,96904,976843,1918440
98,97903,1021633,1910600
99,98902,1016654,1946691
100,99901,1147111,2076335
