SNo,Time,Size,Iterations,kth_smallest,sortkth
1,2e-06,100,133,1,1
2,6e-06,300,544,1,1
3,1.7e-05,500,1718,1,1
4,3.4e-05,700,1381,6,6
5,1.7e-05,900,1812,2,2
6,1.9e-05,1100,2175,5,5
7,4.2e-05,1300,3638,4,4
8,3.2e-05,1500,3284,5,5
9,2.7e-05,1700,3132,7,7
10,9e-06,1900,2345,5,5
11,7e-06,2100,2274,6,6
12,4.3e-05,2300,4702,7,7
13,5.2e-05,2500,5449,7,7
14,4.5e-05,2700,5143,14,14
15,4.7e-05,2900,5475,12,12
16,6.2e-05,3100,6714,11,11
17,3.2e-05,3300,4949,10,10
18,2e-05,3500,4540,13,13
19,1.1e-05,3700,4117,9,9
20,4.9e-05,3900,7739,19,19
21,3.3e-05,4100,5836,14,14
22,3.6e-05,4300,6199,15,15
23,4.6e-05,4500,7426,14,14
24,3.7e-05,4700,6475,17,17
25,5.4e-05,4900,8855,23,23
26,4.6e-05,5100,7341,18,18
27,9.7e-05,5300,12634,21,21
28,7.4e-05,5500,15068,21,21
29,5e-05,5700,8093,23,23
30,9.2e-05,5900,13432,20,20
31,0.000102,6100,13361,22,22
32,0.000103,6300,14018,22,22
33,0.000168,6500,21911,23,23
34,0.000142,6700,16594,20,20
35,0.00019,6900,23421,27,27
36,6.2e-05,7100,9704,34,34
37,0.000175,7300,21317,26,26
38,3.1e-05,7500,9151,29,29
39,0.000125,7700,14355,28,28
40,0.000147,7900,19496,19,19
41,0.000173,8100,22157,29,29
42,2e-05,8300,8682,30,30
43,0.00015,8500,19827,26,26
44,5e-05,8700,10893,32,32
45,0.000139,8900,19089,33,33
46,0.000225,9100,28007,35,35
47,0.000216,9300,24551,25,25
48,0.000145,9500,26792,31,31
49,7.9e-05,9700,13503,32,32
50,0.000138,9900,18127,38,38
51,7.3e-05,10100,13650,30,30
52,0.000102,10300,15494,41,41
53,0.000138,10500,21036,35,35
54,0.000108,10700,16300,44,44
55,0.000104,10900,17582,33,33
56,0.000146,11100,18687,36,36
57,0.000194,11300,25899,41,41
58,0.000391,11500,47938,39,39
59,0.000141,11700,20398,36,36
60,0.000208,11900,27791,43,43
61,0.000238,12100,33642,31,31
62,0.000233,12300,27576,42,42
