SNo,Time,Size,Iterations,char
1,2e-06,100,100,J
2,2e-06,300,300,E
3,3e-06,500,500,O
4,4e-06,700,700,W
5,5e-06,900,900,B
6,5e-06,1100,1100,O
7,6e-06,1300,1300,A
8,7e-06,1500,1500,A
9,8e-06,1700,1700,A
10,9e-06,1900,1900,A
11,9e-06,2100,2100,H
12,1.1e-05,2300,2300,H
13,1.2e-05,2500,2500,H
14,3e-05,2700,2700,M
15,1.3e-05,2900,2900,M
16,1.4e-05,3100,3100,M
17,1.9e-05,3300,3300,F
18,1.6e-05,3500,3500,I
19,1.5e-05,3700,3700,I
20,1.6e-05,3900,3900,I
21,1.6e-05,4100,4100,I
22,1.7e-05,4300,4300,M
23,1.8e-05,4500,4500,I
24,1.9e-05,4700,4700,I
25,2e-05,4900,4900,I
26,2.1e-05,5100,5100,I
27,2.8e-05,5300,5300,I
28,5.7e-05,5500,5500,I
29,3e-05,5700,5700,I
30,3.1e-05,5900,5900,B
31,3.2e-05,6100,6100,B
32,3.4e-05,6300,6300,B
33,4.2e-05,6500,6500,B
34,3.6e-05,6700,6700,B
35,3.7e-05,6900,6900,I
36,3.8e-05,7100,7100,I
37,4e-05,7300,7300,I
38,4.1e-05,7500,7500,I
39,4.1e-05,7700,7700,I
40,4.2e-05,7900,7900,I
41,4.3e-05,8100,8100,I
42,4.4e-05,8300,8300,I
43,4.6e-05,8500,8500,I
44,4.4e-05,8700,8700,I
45,4.1e-05,8900,8900,I
46,4.9e-05,9100,9100,I
47,4.8e-05,9300,9300,I
48,4.7e-05,9500,9500,I
49,5.3e-05,9700,9700,I
50,4.1e-05,9900,9900,J
51,5e-05,10100,10100,J
52,5e-05,10300,10300,J
53,4.8e-05,10500,10500,J
54,5.5e-05,10700,10700,J
55,5e-05,10900,10900,J
56,5.1e-05,11100,11100,I
57,4.9e-05,11300,11300,I
58,4.8e-05,11500,11500,I
59,4.9e-05,11700,11700,J
60,5.6e-05,11900,11900,J
61,5.8e-05,12100,12100,J
62,5.1e-05,12300,12300,I
63,5.1e-05,12500,12500,I
64,5.3e-05,12700,12700,J
65,5.3e-05,12900,12900,J
66,5.5e-05,13100,13100,J
67,5.4e-05,13300,13300,J
68,5.7e-05,13500,13500,J
69,5.5e-05,13700,13700,J
70,7.4e-05,13900,13900,J
71,5.7e-05,14100,14100,J
72,5.8e-05,14300,14300,J
73,5.9e-05,14500,14500,J
74,6e-05,14700,14700,T
75,6e-05,14900,14900,T
76,6.1e-05,15100,15100,T
77,6.3e-05,15300,15300,J
78,6.4e-05,15500,15500,J
79,6.4e-05,15700,15700,J
80,6.4e-05,15900,15900,J
81,6.5e-05,16100,16100,J
82,7.1e-05,16300,16300,J
83,6.8e-05,16500,16500,J
84,6.8e-05,16700,16700,J
85,6.9e-05,16900,16900,J
86,6.9e-05,17100,17100,I
87,7e-05,17300,17300,I
88,7.1e-05,17500,17500,I
89,7.7e-05,17700,17700,I
90,7.3e-05,17900,17900,J
91,7.4e-05,18100,18100,I
92,7.5e-05,18300,18300,I
93,7.8e-05,18500,18500,I
94,7.6e-05,18700,18700,I
95,7.7e-05,18900,18900,I
96,7.8e-05,19100,19100,I
97,7.9e-05,19300,19300,P
98,7.9e-05,19500,19500,P
99,8.5e-05,19700,19700,P
100,8.1e-05,19900,19900,P
101,9.5e-05,20100,20100,P
102,8.3e-05,20300,20300,I
103,8.3e-05,20500,20500,I
104,8.4e-05,20700,20700,I
105,8.5e-05,20900,20900,I
106,8.6e-05,21100,21100,I
107,8.6e-05,21300,21300,I
108,8.8e-05,21500,21500,I
109,0.000117,21700,21700,T
110,8.9e-05,21900,21900,I
111,9e-05,22100,22100,T
112,9.1e-05,22300,22300,I
113,9.2e-05,22500,22500,I
114,9.3e-05,22700,22700,I
115,9.3e-05,22900,22900,I
116,9.3e-05,23100,23100,I
117,9.5e-05,23300,23300,I
118,9.6e-05,23500,23500,I
119,9.6e-05,23700,23700,I
120,0.000104,23900,23900,I
121,9.8e-05,24100,24100,T
122,0.0001,24300,24300,T
123,0.0001,24500,24500,T
124,0.0001,24700,24700,T
125,0.000101,24900,24900,T
126,0.000102,25100,25100,T
127,0.000103,25300,25300,T
128,0.00011,25500,25500,T
129,0.000105,25700,25700,T
130,0.000105,25900,25900,T
131,0.000107,26100,26100,T
132,0.000108,26300,26300,T
133,0.000108,26500,26500,T
134,0.000108,26700,26700,T
135,0.000109,26900,26900,T
136,0.000111,27100,27100,T
137,0.000111,27300,27300,T
138,0.000112,27500,27500,T
139,0.000113,27700,27700,T
140,0.000114,27900,27900,T
141,0.000115,28100,28100,T
142,0.000116,28300,28300,T
143,0.000116,28500,28500,T
144,0.000117,28700,28700,T
145,0.000117,28900,28900,T
146,0.000119,29100,29100,T
147,0.000119,29300,29300,T
148,0.000124,29500,29500,T
149,0.00012,29700,29700,T
150,0.000122,29900,29900,T
151,0.000159,30100,30100,T
152,0.000124,30300,30300,T
153,0.000124,30500,30500,T
154,0.000125,30700,30700,T
155,0.000131,30900,30900,T
156,0.000126,31100,31100,P
157,0.00015,31300,31300,P
158,0.000141,31500,31500,T
159,0.000146,31700,31700,P
160,0.00013,31900,31900,P
161,0.000131,32100,32100,T
162,0.000168,32300,32300,P
163,0.00014,32500,32500,P
164,0.000134,32700,32700,P
165,0.000139,32900,32900,P
166,0.000134,33100,33100,P
167,0.000136,33300,33300,P
168,0.000137,33500,33500,P
169,0.000138,33700,33700,P
170,0.000138,33900,33900,P
171,0.000139,34100,34100,I
172,0.00014,34300,34300,I
173,0.000141,34500,34500,I
174,0.000142,34700,34700,I
175,0.000142,34900,34900,I
176,0.000165,35100,35100,I
177,0.000145,35300,35300,I
178,0.000145,35500,35500,I
179,0.000145,35700,35700,I
180,0.000147,35900,35900,I
181,0.000147,36100,36100,I
182,0.000148,36300,36300,I
183,0.000149,36500,36500,I
184,0.000179,36700,36700,I
185,0.00015,36900,36900,I
186,0.000151,37100,37100,I
187,0.000152,37300,37300,I
188,0.000153,37500,37500,I
189,0.000153,37700,37700,I
190,0.000155,37900,37900,I
191,0.000155,38100,38100,I
192,0.000157,38300,38300,I
193,0.000162,38500,38500,I
194,0.000158,38700,38700,I
195,0.000164,38900,38900,I
196,0.00016,39100,39100,I
197,0.000161,39300,39300,I
198,0.000162,39500,39500,I
199,0.0002,39700,39700,I
200,0.000163,39900,39900,I
201,0.000163,40100,40100,I
202,0.000165,40300,40300,I
203,0.000165,40500,40500,I
204,0.000171,40700,40700,I
205,0.000167,40900,40900,I
206,0.000208,41100,41100,I
207,0.000169,41300,41300,I
208,0.00017,41500,41500,I
209,0.000175,41700,41700,I
210,0.000171,41900,41900,I
211,0.000177,42100,42100,I
212,0.000172,42300,42300,I
213,0.000202,42500,42500,I
214,0.000182,42700,42700,I
215,0.000176,42900,42900,I
216,0.000181,43100,43100,I
217,0.000176,43300,43300,I
218,0.000177,43500,43500,I
219,0.000178,43700,43700,I
220,0.000184,43900,43900,I
221,0.000185,44100,44100,I
222,0.000182,44300,44300,I
223,0.000182,44500,44500,I
224,0.000183,44700,44700,I
225,0.000184,44900,44900,I
226,0.000188,45100,45100,I
227,0.000193,45300,45300,I
228,0.000186,45500,45500,I
229,0.000192,45700,45700,I
230,0.000188,45900,45900,I
231,0.000193,46100,46100,I
232,0.000189,46300,46300,I
233,0.000193,46500,46500,I
234,0.000196,46700,46700,I
235,0.000191,46900,46900,I
236,0.000193,47100,47100,I
237,0.000194,47300,47300,I
238,0.000194,47500,47500,I
239,0.0002,47700,47700,I
240,0.000196,47900,47900,I
241,0.000196,48100,48100,I
242,0.000202,48300,48300,I
243,0.000198,48500,48500,I
244,0.000198,48700,48700,J
245,0.000204,48900,48900,J
246,0.000201,49100,49100,J
247,0.000202,49300,49300,J
248,0.000207,49500,49500,J
249,0.000203,49700,49700,J
250,0.000204,49900,49900,J
251,0.00021,50100,50100,J
252,0.000206,50300,50300,J
253,0.000207,50500,50500,J
254,0.000211,50700,50700,J
255,0.000208,50900,50900,J
256,0.00021,51100,51100,J
257,0.000225,51300,51300,J
258,0.000211,51500,51500,J
259,0.000211,51700,51700,J
260,0.000223,51900,51900,I
261,0.000213,52100,52100,J
262,0.000213,52300,52300,J
263,0.000261,52500,52500,J
264,0.00022,52700,52700,I
265,0.000216,52900,52900,I
266,0.000222,53100,53100,J
267,0.000218,53300,53300,J
268,0.000219,53500,53500,I
269,0.000229,53700,53700,I
270,0.000221,53900,53900,I
271,0.000225,54100,54100,I
272,0.000228,54300,54300,I
273,0.000223,54500,54500,I
274,0.000244,54700,54700,I
275,0.000239,54900,54900,I
276,0.000225,55100,55100,I
277,0.000226,55300,55300,I
278,0.000237,55500,55500,I
279,0.000227,55700,55700,I
280,0.00023,55900,55900,I
281,0.00024,56100,56100,I
282,0.000231,56300,56300,I
283,0.000231,56500,56500,I
284,0.000233,56700,56700,I
285,0.000234,56900,56900,I
286,0.000233,57100,57100,I
287,0.000234,57300,57300,I
288,0.000235,57500,57500,I
289,0.000235,57700,57700,I
290,0.00024,57900,57900,I
291,0.000237,58100,58100,I
292,0.000239,58300,58300,I
293,0.000239,58500,58500,I
294,0.000239,58700,58700,I
295,0.000241,58900,58900,I
296,0.000272,59100,59100,I
297,0.000249,59300,59300,I
298,0.000243,59500,59500,I
299,0.000244,59700,59700,I
300,0.000245,59900,59900,I
301,0.000249,60100,60100,I
302,0.000246,60300,60300,I
303,0.000259,60500,60500,I
304,0.000248,60700,60700,I
305,0.000253,60900,60900,I
306,0.000261,61100,61100,I
307,0.000251,61300,61300,I
308,0.000252,61500,61500,I
309,0.00026,61700,61700,I
310,0.000253,61900,61900,I
311,0.000253,62100,62100,I
312,0.000287,62300,62300,I
313,0.000271,62500,62500,I
314,0.000261,62700,62700,I
315,0.000257,62900,62900,I
316,0.000281,63100,63100,I
317,0.000287,63300,63300,I
318,0.000264,63500,63500,I
319,0.000261,63700,63700,I
320,0.000273,63900,63900,I
321,0.000262,64100,64100,I
322,0.000288,64300,64300,I
323,0.00027,64500,64500,I
324,0.000275,64700,64700,I
325,0.000266,64900,64900,I
326,0.000267,65100,65100,I
327,0.000305,65300,65300,I
328,0.000281,65500,65500,I
329,0.000269,65700,65700,I
330,0.000269,65900,65900,I
331,0.000281,66100,66100,I
332,0.000303,66300,66300,I
333,0.000276,66500,66500,I
334,0.000334,66700,66700,I
335,0.000312,66900,66900,I
336,0.000277,67100,67100,I
337,0.000277,67300,67300,I
338,0.000277,67500,67500,I
339,0.000277,67700,67700,I
340,0.000282,67900,67900,I
341,0.00029,68100,68100,I
342,0.00028,68300,68300,I
343,0.00028,68500,68500,I
344,0.000281,68700,68700,I
345,0.000292,68900,68900,I
346,0.000296,69100,69100,I
347,0.000287,69300,69300,I
348,0.000285,69500,69500,I
349,0.000285,69700,69700,I
350,0.000298,69900,69900,I
351,0.000317,70100,70100,I
352,0.000288,70300,70300,I
353,0.000292,70500,70500,I
354,0.000293,70700,70700,I
355,0.000291,70900,70900,I
356,0.000291,71100,71100,I
357,0.000292,71300,71300,I
358,0.000293,71500,71500,I
359,0.000295,71700,71700,I
360,0.000299,71900,71900,I
361,0.0003,72100,72100,I
362,0.000295,72300,72300,I
363,0.000296,72500,72500,I
364,0.000314,72700,72700,I
365,0.000298,72900,72900,I
366,0.000299,73100,73100,I
367,0.000299,73300,73300,I
368,0.000305,73500,73500,I
369,0.000306,73700,73700,I
370,0.000306,73900,73900,I
371,0.000304,74100,74100,I
372,0.000303,74300,74300,I
373,0.000305,74500,74500,I
374,0.000334,74700,74700,I
375,0.000307,74900,74900,I
376,0.000307,75100,75100,I
377,0.000312,75300,75300,I
378,0.000337,75500,75500,I
379,0.000314,75700,75700,I
380,0.000314,75900,75900,I
381,0.000311,76100,76100,I
382,0.000312,76300,76300,I
383,0.000315,76500,76500,I
384,0.000314,76700,76700,I
385,0.000314,76900,76900,I
386,0.000329,77100,77100,I
387,0.000331,77300,77300,I
388,0.000317,77500,77500,I
389,0.000319,77700,77700,I
390,0.000322,77900,77900,I
391,0.000324,78100,78100,I
392,0.000325,78300,78300,I
393,0.000336,78500,78500,I
394,0.000326,78700,78700,I
395,0.000323,78900,78900,I
396,0.000323,79100,79100,I
397,0.000324,79300,79300,I
398,0.00033,79500,79500,I
399,0.000326,79700,79700,I
400,0.000338,79900,79900,I
401,0.000339,80100,80100,I
402,0.00034,80300,80300,I
403,0.000329,80500,80500,I
404,0.000331,80700,80700,I
405,0.000331,80900,80900,I
406,0.000332,81100,81100,I
407,0.000346,81300,81300,I
408,0.000335,81500,81500,I
409,0.000335,81700,81700,I
410,0.000335,81900,81900,I
411,0.000335,82100,82100,I
412,0.000438,82300,82300,I
413,0.000394,82500,82500,I
414,0.00034,82700,82700,I
415,0.000371,82900,82900,I
416,0.000341,83100,83100,I
417,0.000342,83300,83300,I
418,0.00037,83500,83500,I
419,0.000351,83700,83700,I
420,0.000349,83900,83900,I
421,0.000349,84100,84100,I
422,0.00035,84300,84300,I
423,0.000348,84500,84500,I
424,0.000347,84700,84700,I
425,0.000349,84900,84900,I
426,0.00035,85100,85100,I
427,0.000351,85300,85300,I
428,0.000351,85500,85500,I
429,0.000362,85700,85700,I
430,0.000361,85900,85900,I
431,0.000366,86100,86100,I
432,0.000365,86300,86300,I
433,0.000364,86500,86500,I
434,0.000388,86700,86700,I
435,0.000366,86900,86900,I
436,0.000367,87100,87100,I
437,0.000394,87300,87300,I
438,0.000373,87500,87500,I
439,0.000376,87700,87700,I
440,0.000376,87900,87900,I
441,0.000374,88100,88100,I
442,0.000372,88300,88300,I
443,0.000371,88500,88500,I
444,0.000367,88700,88700,I
445,0.000368,88900,88900,I
446,0.000375,89100,89100,I
447,0.000373,89300,89300,I
448,0.000371,89500,89500,I
449,0.000406,89700,89700,I
450,0.000386,89900,89900,I
451,0.000384,90100,90100,I
452,0.000386,90300,90300,I
453,0.000386,90500,90500,I
454,0.000382,90700,90700,I
455,0.000389,90900,90900,I
456,0.000383,91100,91100,I
457,0.000383,91300,91300,I
458,0.000387,91500,91500,I
459,0.000395,91700,91700,I
460,0.000398,91900,91900,I
461,0.000391,92100,92100,I
462,0.000394,92300,92300,I
463,0.000391,92500,92500,I
464,0.00038,92700,92700,I
465,0.000381,92900,92900,I
466,0.000382,93100,93100,I
467,0.000417,93300,93300,I
468,0.000388,93500,93500,I
469,0.000385,93700,93700,I
470,0.000385,93900,93900,I
471,0.000388,94100,94100,I
472,0.000387,94300,94300,I
473,0.000407,94500,94500,I
474,0.000393,94700,94700,I
475,0.00039,94900,94900,I
476,0.000392,95100,95100,I
477,0.000439,95300,95300,I
478,0.000396,95500,95500,I
479,0.000397,95700,95700,I
480,0.000401,95900,95900,I
481,0.000409,96100,96100,I
482,0.000395,96300,96300,I
483,0.000399,96500,96500,I
484,0.000415,96700,96700,I
485,0.000404,96900,96900,I
486,0.000398,97100,97100,I
487,0.000433,97300,97300,I
488,0.000414,97500,97500,I
489,0.000411,97700,97700,I
490,0.000425,97900,97900,I
491,0.000403,98100,98100,I
492,0.000408,98300,98300,I
493,0.000414,98500,98500,I
494,0.000406,98700,98700,I
495,0.000407,98900,98900,I
496,0.000502,99100,99100,I
497,0.000422,99300,99300,I
498,0.000422,99500,99500,I
499,0.000413,99700,99700,I
500,0.000413,99900,99900,I
501,0.000426,100100,100100,I
502,0.000426,100300,100300,I
503,0.000447,100500,100500,I
504,0.000418,100700,100700,I
505,0.000427,100900,100900,I
506,0.000457,101100,101100,I
507,0.000421,101300,101300,I
508,0.000416,101500,101500,I
509,0.00043,101700,101700,I
510,0.000438,101900,101900,I
511,0.000423,102100,102100,I
512,0.00042,102300,102300,I
513,0.000435,102500,102500,I
514,0.000439,102700,102700,I
515,0.000423,102900,102900,I
516,0.000426,103100,103100,I
517,0.000441,103300,103300,I
518,0.000429,103500,103500,I
519,0.000425,103700,103700,I
520,0.000426,103900,103900,I
521,0.000431,104100,104100,I
522,0.000444,104300,104300,I
523,0.00043,104500,104500,I
524,0.000433,104700,104700,I
525,0.000432,104900,104900,I
526,0.000443,105100,105100,I
527,0.000463,105300,105300,I
528,0.000434,105500,105500,I
529,0.000433,105700,105700,I
530,0.000451,105900,105900,I
531,0.000437,106100,106100,I
532,0.000437,106300,106300,I
533,0.000443,106500,106500,I
534,0.000455,106700,106700,I
535,0.000454,106900,106900,I
536,0.000445,107100,107100,I
537,0.000442,107300,107300,I
538,0.000458,107500,107500,I
539,0.00046,107700,107700,I
540,0.000443,107900,107900,I
541,0.000447,108100,108100,I
542,0.000462,108300,108300,I
543,0.000445,108500,108500,I
544,0.000449,108700,108700,I
545,0.000447,108900,108900,I
546,0.000463,109100,109100,I
547,0.000466,109300,109300,I
548,0.000448,109500,109500,I
549,0.000455,109700,109700,I
550,0.000473,109900,109900,I
551,0.000486,110100,110100,I
552,0.000456,110300,110300,I
553,0.000453,110500,110500,I
554,0.000489,110700,110700,I
555,0.000473,110900,110900,I
556,0.000456,111100,111100,I
557,0.000488,111300,111300,I
558,0.000479,111500,111500,I
559,0.000458,111700,111700,I
560,0.000463,111900,111900,I
561,0.00046,112100,112100,I
562,0.000479,112300,112300,I
563,0.00049,112500,112500,I
564,0.000464,112700,112700,I
565,0.000592,112900,112900,I
566,0.000604,113100,113100,I
567,0.000473,113300,113300,I
568,0.000501,113500,113500,I
569,0.000483,113700,113700,I
570,0.000482,113900,113900,I
571,0.00049,114100,114100,I
572,0.00047,114300,114300,I
573,0.000506,114500,114500,I
574,0.000491,114700,114700,I
575,0.000486,114900,114900,I
576,0.000476,115100,115100,I
577,0.000473,115300,115300,I
578,0.000509,115500,115500,I
579,0.000477,115700,115700,I
580,0.00048,115900,115900,I
581,0.000477,116100,116100,I
582,0.000495,116300,116300,I
583,0.000479,116500,116500,I
584,0.000512,116700,116700,I
585,0.000484,116900,116900,I
586,0.000493,117100,117100,I
587,0.0005,117300,117300,I
588,0.000482,117500,117500,I
589,0.000487,117700,117700,I
590,0.000498,117900,117900,I
591,0.00049,118100,118100,I
592,0.00051,118300,118300,I
593,0.00049,118500,118500,I
594,0.000501,118700,118700,I
595,0.000518,118900,118900,I
596,0.00049,119100,119100,I
597,0.000512,119300,119300,I
598,0.000506,119500,119500,I
599,0.000495,119700,119700,I
600,0.000526,119900,119900,I
601,0.000495,120100,120100,I
602,0.000512,120300,120300,I
603,0.000498,120500,120500,I
604,0.000495,120700,120700,I
605,0.000499,120900,120900,I
606,0.000513,121100,121100,I
607,0.000501,121300,121300,I
608,0.000525,121500,121500,I
609,0.000638,121700,121700,I
610,0.00068,121900,121900,I
611,0.000648,122100,122100,I
612,0.000649,122300,122300,I
613,0.000648,122500,122500,I
614,0.000648,122700,122700,I
615,0.000656,122900,122900,I
616,0.00065,123100,123100,I
617,0.000652,123300,123300,I
618,0.00066,123500,123500,I
619,0.000707,123700,123700,I
620,0.000654,123900,123900,I
621,0.000652,124100,124100,I
622,0.000651,124300,124300,I
623,0.000662,124500,124500,I
624,0.00066,124700,124700,I
625,0.000645,124900,124900,I
626,0.000518,125100,125100,I
627,0.000518,125300,125300,I
628,0.000515,125500,125500,I
629,0.000543,125700,125700,I
630,0.000662,125900,125900,I
631,0.000686,126100,126100,I
632,0.000674,126300,126300,I
633,0.00067,126500,126500,I
634,0.000666,126700,126700,I
635,0.000682,126900,126900,I
636,0.000692,127100,127100,I
637,0.00053,127300,127300,I
638,0.000546,127500,127500,I
639,0.000526,127700,127700,I
640,0.000528,127900,127900,I
641,0.000525,128100,128100,I
642,0.000532,128300,128300,I
643,0.000685,128500,128500,I
644,0.000688,128700,128700,I
645,0.000705,128900,128900,I
646,0.000679,129100,129100,I
647,0.000669,129300,129300,I
648,0.000696,129500,129500,I
649,0.000543,129700,129700,I
650,0.00054,129900,129900,I
651,0.000535,130100,130100,I
652,0.000539,130300,130300,I
653,0.000564,130500,130500,I
654,0.000541,130700,130700,I
655,0.000537,130900,130900,I
656,0.000543,131100,131100,I
657,0.000541,131300,131300,I
658,0.000541,131500,131500,I
659,0.000544,131700,131700,I
660,0.000541,131900,131900,I
661,0.000546,132100,132100,I
662,0.00055,132300,132300,I
663,0.000543,132500,132500,I
664,0.00055,132700,132700,I
665,0.000545,132900,132900,I
666,0.000551,133100,133100,I
667,0.000551,133300,133300,I
668,0.000548,133500,133500,I
669,0.000552,133700,133700,I
670,0.000553,133900,133900,I
671,0.000553,134100,134100,I
672,0.000555,134300,134300,I
673,0.000552,134500,134500,I
674,0.000555,134700,134700,I
675,0.000554,134900,134900,I
676,0.000574,135100,135100,I
677,0.000558,135300,135300,I
678,0.000584,135500,135500,I
679,0.000561,135700,135700,I
680,0.000557,135900,135900,I
681,0.000559,136100,136100,I
682,0.000567,136300,136300,I
683,0.000576,136500,136500,I
684,0.000568,136700,136700,I
685,0.000582,136900,136900,I
686,0.000562,137100,137100,I
687,0.000566,137300,137300,I
688,0.000577,137500,137500,I
689,0.000565,137700,137700,I
690,0.000569,137900,137900,I
691,0.000566,138100,138100,I
692,0.00057,138300,138300,I
693,0.00058,138500,138500,I
694,0.000568,138700,138700,I
695,0.000573,138900,138900,I
696,0.00057,139100,139100,I
697,0.000571,139300,139300,I
698,0.000593,139500,139500,I
699,0.000573,139700,139700,I
700,0.000576,139900,139900,I
701,0.000579,140100,140100,I
702,0.000574,140300,140300,I
703,0.000578,140500,140500,I
704,0.000581,140700,140700,I
705,0.000606,140900,140900,I
706,0.000578,141100,141100,I
707,0.000584,141300,141300,I
708,0.000579,141500,141500,I
709,0.000583,141700,141700,I
710,0.000616,141900,141900,I
711,0.000583,142100,142100,I
712,0.000583,142300,142300,I
713,0.000588,142500,142500,I
714,0.0006,142700,142700,I
715,0.000587,142900,142900,I
716,0.000599,143100,143100,I
717,0.000612,143300,143300,I
718,0.00059,143500,143500,I
719,0.000658,143700,143700,I
720,0.000596,143900,143900,I
721,0.000614,144100,144100,I
722,0.000592,144300,144300,I
723,0.000592,144500,144500,I
724,0.000602,144700,144700,I
725,0.000597,144900,144900,I
726,0.000625,145100,145100,I
727,0.0006,145300,145300,I
728,0.000599,145500,145500,I
729,0.000598,145700,145700,I
730,0.0006,145900,145900,I
731,0.000603,146100,146100,J
732,0.000603,146300,146300,I
733,0.000629,146500,146500,J
734,0.000603,146700,146700,J
735,0.000606,146900,146900,J
736,0.000611,147100,147100,J
737,0.000604,147300,147300,J
738,0.000607,147500,147500,J
739,0.00061,147700,147700,J
740,0.00064,147900,147900,J
741,0.000608,148100,148100,J
742,0.000608,148300,148300,J
743,0.000613,148500,148500,J
744,0.000629,148700,148700,J
745,0.000617,148900,148900,J
746,0.000611,149100,149100,J
747,0.000616,149300,149300,J
748,0.000618,149500,149500,J
749,0.000641,149700,149700,J
750,0.000614,149900,149900,J
751,0.00062,150100,150100,J
752,0.00062,150300,150300,J
