SNo,Time,Size,Iterations,Count
1,2.1e-05,100,1394,100
2,2.1e-05,110,1856,110
3,4.3e-05,120,1662,120
4,2.7e-05,130,2196,130
5,2.6e-05,140,1906,140
6,2.6e-05,150,2236,150
7,3e-05,160,2326,160
8,3.5e-05,170,2630,170
9,4.2e-05,180,3594,180
10,3.7e-05,190,2916,190
11,4.3e-05,200,3618,200
12,4.4e-05,210,3678,210
13,5.7e-05,220,3756,220
14,4.9e-05,230,3522,230
15,3.6e-05,240,4074,240
16,3.6e-05,250,4342,250
17,5.5e-05,260,4638,260
18,4e-05,270,4752,270
19,4.2e-05,280,4788,280
20,4.7e-05,290,5266,290
21,4.6e-05,300,5316,300
22,4.9e-05,310,5502,310
23,6.1e-05,320,5544,320
24,5e-05,330,6402,330
25,4.4e-05,340,5736,340
26,4.4e-05,350,5786,350
27,5.3e-05,360,6786,360
28,5.2e-05,370,6752,370
29,5.2e-05,380,7042,380
30,7e-05,390,7360,390
31,6.2e-05,400,7622,400
32,7.6e-05,410,8588,410
33,6.9e-05,420,8820,420
34,6e-05,430,8080,430
35,6.7e-05,440,8712,440
36,6.3e-05,450,8414,450
37,7.6e-05,460,8978,460
38,7.2e-05,470,8960,470
39,8.9e-05,480,9250,480
40,7.7e-05,490,9498,490
41,7.8e-05,500,10308,500
42,7.5e-05,510,10550,510
43,8.8e-05,520,11114,520
44,0.000101,530,10676,530
45,9e-05,540,10812,540
46,0.000113,550,13022,550
47,8.3e-05,560,10814,560
48,8.9e-05,570,11596,570
49,8.8e-05,580,12024,580
50,9.5e-05,590,13588,590
51,9.6e-05,600,11594,600
52,9.9e-05,610,13174,610
53,0.000129,620,13700,620
54,9.8e-05,630,14364,630
55,0.000105,640,13394,640
56,0.00011,650,14384,650
57,0.000139,660,13012,660
58,0.000117,670,15320,670
59,0.000119,680,14788,680
60,0.000112,690,14776,690
61,0.000136,700,16994,700
62,0.000133,710,16784,710
63,0.000134,720,16196,720
64,0.000122,730,15188,730
65,0.000119,740,16394,740
66,0.000124,750,15434,750
67,0.000128,760,18190,760
68,0.000148,770,18224,770
69,0.000144,780,16882,780
70,0.000137,790,17660,790
71,0.00012,800,16010,800
72,0.000148,810,18696,810
73,0.000134,820,16204,820
74,0.000149,830,19090,830
75,0.000151,840,18918,840
76,0.00016,850,20174,850
77,0.000167,860,17894,860
78,0.000152,870,19770,870
79,0.000141,880,19232,880
80,0.000164,890,22324,890
81,0.000167,900,19696,900
82,0.000145,910,21446,910
83,0.000148,920,19032,920
84,0.000183,930,22906,930
85,0.000186,940,21870,940
86,0.000171,950,22352,950
87,0.000158,960,20852,960
88,0.000176,970,22086,970
