SNo,Time,Flag,Size,Iterations,Key
1,1e-06,1,100,7,188
2,1e-06,1,300,7,114
3,1e-06,1,500,8,155
4,1e-06,1,700,9,155
5,1e-06,1,900,9,1665
6,1e-06,1,1100,10,1516
7,1e-06,1,1300,8,992
8,0,1,1500,10,1665
9,1e-06,1,1700,10,894
10,0,1,1900,10,661
11,1e-06,1,2100,8,1107
12,0,1,2300,10,4596
13,0,1,2500,10,2456
14,1e-06,1,2700,10,1665
15,1e-06,1,2900,11,1902
16,1e-06,1,3100,10,693
17,1e-06,1,3300,12,1115
18,1e-06,1,3500,11,1613
19,1e-06,1,3700,12,114
20,0,1,3900,11,3748
21,1e-06,1,4100,12,661
22,1e-06,1,4300,12,6898
23,0,1,4500,12,1665
24,0,1,4700,13,2535
25,1e-06,1,4900,10,8729
26,1e-06,1,5100,6,9081
27,1e-06,1,5300,11,2104
28,1e-06,1,5500,10,8037
29,1e-06,1,5700,12,4676
30,1e-06,1,5900,13,6230
31,1e-06,1,6100,12,8732
32,1e-06,1,6300,12,1107
33,1e-06,1,6500,13,889
34,1e-06,1,6700,9,2939
35,1e-06,1,6900,11,4596
36,1e-06,1,7100,13,4396
37,0,1,7300,11,1277
38,1e-06,1,7500,13,10588
39,0,1,7700,12,510
40,0,1,7900,13,11816
41,1e-06,1,8100,13,11123
42,0,1,8300,13,510
43,1e-06,1,8500,11,7637
44,1e-06,1,8700,13,8544
45,0,1,8900,14,10745
46,3e-05,1,9100,13,8729
47,0,1,9300,12,2685
48,1e-06,1,9500,13,4676
49,1e-06,1,9700,13,18768
50,0,1,9900,11,8037
51,1e-06,1,10100,13,6933
52,0,1,10300,12,7719
53,1e-06,1,10500,14,4676
54,0,1,10700,13,15031
55,0,1,10900,13,16471
56,1e-06,1,11100,13,114
57,1e-06,1,11300,14,15543
58,1e-06,1,11500,10,4596
59,1e-06,1,11700,12,21785
60,1e-06,1,11900,10,7637
61,1e-06,1,12100,14,3661
62,1e-06,1,12300,13,5823
63,0,1,12500,13,10588
64,0,1,12700,13,13839
65,1e-06,1,12900,13,18977
66,1e-06,1,13100,11,2939
67,1e-06,1,13300,13,4676
68,1e-06,1,13500,14,16318
69,1e-06,1,13700,14,11608
70,1e-06,1,13900,14,393
71,1e-06,1,14100,12,2535
72,1e-06,1,14300,14,13358
73,1e-06,1,14500,14,23048
74,0,1,14700,14,20328
75,1e-06,1,14900,14,2535
76,1e-06,1,15100,12,25590
77,1e-06,1,15300,14,15031
78,1e-06,1,15500,14,27057
79,1e-06,1,15700,14,31247
80,0,1,15900,13,3952
81,1e-06,1,16100,10,15071
82,1e-06,1,16300,13,3882
83,1e-06,1,16500,12,8037
84,1e-06,1,16700,14,26085
85,0,1,16900,14,13358
86,0,1,17100,12,3952
87,0,1,17300,14,33994
88,1e-06,1,17500,14,34952
89,0,1,17700,12,18768
90,1e-06,1,17900,14,4396
91,1e-06,1,18100,14,10745
92,0,1,18300,13,8732
93,1e-06,1,18500,14,34468
94,1e-06,1,18700,13,31812
95,0,1,18900,13,34952
96,1e-06,1,19100,14,17336
97,0,1,19300,15,36078
98,1e-06,1,19500,14,4167
99,1e-06,1,19700,14,36
100,0,1,19900,15,2685
101,1e-06,1,20100,13,3661
102,1e-06,1,20300,15,6748
103,1e-06,1,20500,14,2825
104,1e-06,1,20700,14,9838
105,1e-06,1,20900,15,37020
106,0,1,21100,12,31247
107,1e-06,1,21300,15,40951
108,1e-06,1,21500,13,22762
109,1e-06,1,21700,15,34376
110,1e-06,1,21900,10,17269
111,1e-06,1,22100,14,9792
112,1e-06,1,22300,13,22360
113,0,1,22500,14,40951
114,0,1,22700,13,43896
115,0,1,22900,13,28165
116,1e-06,1,23100,14,2153
117,1e-06,1,23300,14,46380
118,1e-06,1,23500,12,32973
119,0,1,23700,13,3661
