SNo,Time,Count,Size,Iterations,Key
1,1e-06,2,1000,10,226
2,1e-06,2,1999,9,294
3,1e-06,3,2998,12,702
4,1e-06,6,3997,14,1599
5,1e-06,3,4996,13,1224
6,1e-06,3,5995,13,2581
7,1e-06,2,6994,13,3447
8,1e-06,3,7993,13,4815
9,2e-06,3,8992,11,5529
10,2e-06,3,9991,12,3421
11,1e-06,2,10990,12,1056
12,1e-06,2,11989,12,1614
13,1e-06,2,12988,11,6081
14,1e-06,4,13987,15,3412
15,1e-06,2,14986,13,536
16,1e-06,3,15985,14,30
17,1e-06,3,16984,14,3968
18,1e-06,2,17983,12,1908
19,1e-06,2,18982,15,11364
20,1e-06,2,19981,14,7031
21,1e-06,2,20980,13,12636
22,1e-06,2,21979,14,959
23,1e-06,5,22978,14,7216
24,2e-06,2,23977,13,13240
25,2e-06,3,24976,14,10556
26,2e-06,3,25975,15,14965
27,1e-06,2,26974,12,198
28,1e-06,2,27973,15,14511
29,2e-06,2,28972,12,4118
30,1e-06,3,29971,15,4940
31,1e-06,2,30970,11,5378
32,1e-06,3,31969,13,2531
33,1e-06,2,32968,13,3528
34,1e-06,2,33967,15,17671
35,1e-06,2,34966,14,21290
36,1e-06,3,35965,13,20542
37,1e-06,3,36964,12,5069
38,1e-06,3,37963,15,2422
39,1e-06,3,38962,14,3796
40,1e-06,3,39961,15,2711
41,1e-06,3,40960,16,11965
42,1e-06,3,41959,15,10217
43,1e-06,2,42958,14,19443
44,1e-06,3,43957,12,6443
45,1e-06,2,44956,14,24203
46,1e-06,2,45955,14,6910
47,1e-06,2,46954,14,9870
48,1e-06,3,47953,14,9897
49,1e-06,2,48952,15,31490
50,1e-06,3,49951,15,32163
51,1e-06,2,50950,15,17345
52,1e-06,2,51949,15,7750
53,1e-06,2,52948,13,25535
54,1e-06,2,53947,16,11015
55,1e-06,3,54946,14,34960
56,1e-06,3,55945,14,11442
57,1e-06,2,56944,16,7309
58,2e-06,2,57943,12,30515
59,1e-06,3,58942,12,33848
60,1e-06,3,59941,16,26246
61,2e-06,2,60940,16,6976
62,1e-06,2,61939,15,23266
63,1e-06,3,62938,17,2956
64,1e-06,2,63937,15,38916
65,2e-06,2,64936,13,699
66,1e-06,3,65935,16,4983
67,1e-06,2,66934,16,16392
68,1e-06,3,67933,15,2444
69,1e-06,3,68932,16,43442
70,2e-06,2,69931,16,20913
71,1e-06,3,70930,16,30713
72,1e-06,2,71929,16,38232
73,1e-06,2,72928,15,11066
74,1e-06,2,73927,17,21922
75,2e-06,2,74926,15,11679
76,1e-06,2,75925,16,4771
77,2e-06,2,76924,14,25059
78,1e-06,2,77923,16,22993
79,1e-06,3,78922,8,30056
80,1e-06,4,79921,18,300
81,2e-06,2,80920,16,51348
82,1e-06,5,81919,18,19019
83,1e-06,2,82918,16,9179
84,1e-06,2,83917,16,1131
85,1e-06,2,84916,16,21145
86,3e-06,2,85915,16,9322
87,1e-06,3,86914,15,44183
88,2e-06,4,87913,18,22290
89,1e-06,2,88912,16,50055
90,1e-06,2,89911,15,45865
91,1e-06,2,90910,9,45317
92,1e-06,2,91909,17,43819
93,1e-06,2,92908,16,27440
94,1e-06,2,93907,16,5314
95,1e-06,2,94906,17,17317
96,1e-06,3,95905,16,29158
97,1e-06,3,96904,16,54903
98,1e-06,2,97903,16,61965
99,1e-06,3,98902,17,43162
100,1e-06,2,99901,17,39179
